metric,mean_alt,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_alt,n_null,layer
k85,6.32,5.96,0.3600000000000003,0.2599999999999998,0.45999999999999996,0.0,1.0011867957579152,100,100,8
k85,6.78,5.99,0.79,0.7000000000000002,0.8799999999999999,0.0,2.609284123349474,100,100,9
k85,7.3,5.98,1.3199999999999994,1.2199999999999998,1.4202499999999998,0.0,3.5772276784545696,100,100,10
k85,7.73,5.99,1.7400000000000002,1.58,1.9000000000000004,0.0,2.9118710355824855,100,100,11
k90,6.0,6.0,0.0,0.0,0.0,2.0,,100,100,0
k90,6.0,6.0,0.0,0.0,0.0,2.0,,100,100,1
k90,6.0,6.0,0.0,0.0,0.0,2.0,,100,100,2
k90,6.33,6.0,0.33000000000000007,0.2400000000000002,0.41999999999999993,0.0,0.9875342427465569,100,100,3
k90,6.9,6.0,0.9000000000000004,0.8399999999999999,0.9500000000000002,0.0,4.221374183841088,100,100,4
k90,6.98,6.0,0.9800000000000004,0.9500000000000002,1.0,0.0,9.849873095629206,100,100,5
k90,7.0,6.02,0.9800000000000004,0.9500000000000002,1.0,0.0,9.849873095629206,100,100,6
k90,7.18,6.58,0.5999999999999996,0.47999999999999954,0.7299999999999995,0.0,1.3498466170534154,100,100,7
k90,7.7,6.84,0.8600000000000003,0.75,0.9699999999999998,0.0,2.0620513449303153,100,100,8
k90,8.29,7.33,0.9599999999999991,0.8200000000000003,1.1000000000000005,0.0,1.8607949577432763,100,100,9
k90,9.49,7.71,1.7800000000000002,1.5599999999999996,2.0102500000000005,0.0,2.1671145992955734,100,100,10
k90,9.96,7.67,2.290000000000001,2.0199999999999996,2.5300000000000002,0.0,2.486440512968512,100,100,11
k95,7.0,7.0,0.0,0.0,0.0,2.0,,100,100,0
k95,7.0,7.0,0.0,0.0,0.0,2.0,,100,100,1
k95,7.58,7.0,0.5800000000000001,0.4800000000000004,0.6799999999999997,0.0,1.6535675717326204,100,100,2
k95,8.0,7.15,0.8499999999999996,0.7800000000000002,0.9199999999999999,0.0,3.3496268448888435,100,100,3
k95,8.14,7.81,0.33000000000000096,0.22999999999999954,0.4399999999999995,0.0,0.8866120534285158,100,100,4
k95,8.4,7.98,0.41999999999999993,0.2900000000000009,0.5500000000000007,0.0,0.8717498383589474,100,100,5
k95,9.07,8.56,0.5099999999999998,0.29000000000000087,0.7200000000000006,0.0,0.6574394307611894,100,100,6
k95,10.52,9.75,0.7699999999999996,0.450000000000001,1.08025,0.0,0.6802280359667761,100,100,7
k95,12.37,11.03,1.3399999999999999,0.9600000000000009,1.7100000000000009,0.0,0.9852951938237606,100,100,8
k95,14.05,12.28,1.7700000000000014,1.3399999999999999,2.1999999999999993,0.0,1.1380960308478858,100,100,9
k95,16.01,13.16,2.8500000000000014,2.380000000000001,3.349999999999998,0.0,1.6178611598895223,100,100,10
k95,16.19,12.92,3.2700000000000014,2.780000000000001,3.7702499999999977,0.0,1.8321107298730759,100,100,11
