,layer,level_from,level_to,G,left_out
488,6,3,4,0.9335407515366873,sentence.4
489,6,4,5,0.9425187657276789,sentence.4
490,6,5,6,0.9185629751947191,sentence.4
491,6,6,7,0.9286121726036072,sentence.4
492,6,7,8,0.921728543109364,sentence.4
493,6,8,9,0.9178932507832845,sentence.4
494,6,9,10,0.923585025800599,sentence.4
495,7,1,2,0.8754476871755388,sentence.4
496,7,2,3,0.9112068878279792,sentence.4
497,7,3,4,0.9171756075488197,sentence.4
498,7,4,5,0.9268897606266869,sentence.4
499,7,5,6,0.9060118893782297,sentence.4
500,7,6,7,0.9155352926916547,sentence.4
501,7,7,8,0.9122206171353658,sentence.4
502,7,8,9,0.9002887176142799,sentence.4
503,7,9,10,0.9124511314762963,sentence.4
504,8,1,2,0.8591332568062676,sentence.4
505,8,2,3,0.8887766698996226,sentence.4
506,8,3,4,0.9037120789289474,sentence.4
507,8,4,5,0.9047329707278146,sentence.4
508,8,5,6,0.8886085086398654,sentence.4
509,8,6,7,0.8950970454348458,sentence.4
510,8,7,8,0.8920088526275423,sentence.4
511,8,8,9,0.8816556053029166,sentence.4
512,8,9,10,0.8968214243650436,sentence.4
513,9,1,2,0.8283036400874456,sentence.4
514,9,2,3,0.8605571770005755,sentence.4
515,9,3,4,0.8872889065080218,sentence.4
516,9,4,5,0.8854972024758657,sentence.4
517,9,5,6,0.8706321948104434,sentence.4
518,9,6,7,0.877310143576728,sentence.4
519,9,7,8,0.8724931594398286,sentence.4
520,9,8,9,0.8618468294541041,sentence.4
521,9,9,10,0.8765137328041924,sentence.4
522,10,1,2,0.7956234233246909,sentence.4
523,10,2,3,0.8167243185970519,sentence.4
524,10,3,4,0.8546699666314654,sentence.4
525,10,4,5,0.8562494152122073,sentence.4
526,10,5,6,0.842889279127121,sentence.4
527,10,6,7,0.8494607822762595,sentence.4
528,10,7,8,0.8383042563994726,sentence.4
529,10,8,9,0.8312458511855867,sentence.4
530,10,9,10,0.8449752744701173,sentence.4
531,11,1,2,0.75825268526872,sentence.4
532,11,2,3,0.7610340151521895,sentence.4
533,11,3,4,0.8143064611487918,sentence.4
534,11,4,5,0.8078562368949255,sentence.4
535,11,5,6,0.8044533977905909,sentence.4
536,11,6,7,0.8329970637957255,sentence.4
