layer,total_components,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,k80,k85,k90,k95,k99,boot_id
0,90,0.26426905393600464,0.218230739235878,0.18986158072948456,0.12042193859815598,0.09020084887742996,0.06014614924788475,0.030337776988744736,0.01950686424970627,0.0011703469790518284,0.0007132356986403465,5,5,6,7,8,8
1,90,0.25446024537086487,0.22355306148529053,0.19005733728408813,0.12266024947166443,0.09054870158433914,0.05900761857628822,0.0320194810628891,0.019158419221639633,0.0013221650151535869,0.000906288274563849,5,5,6,7,8,8
2,90,0.256614625453949,0.2274714559316635,0.18205690383911133,0.11460015177726746,0.09032368659973145,0.06218396872282028,0.03166764974594116,0.018645694479346275,0.001979870954528451,0.0017338352045044303,5,5,6,7,13,8
3,90,0.2557310461997986,0.21962912380695343,0.17674434185028076,0.11604178696870804,0.09093466401100159,0.06635655462741852,0.031068095937371254,0.018392514437437057,0.002949988469481468,0.002690789522603154,5,5,6,7,17,8
4,90,0.2668556272983551,0.2215736359357834,0.163476824760437,0.11164975166320801,0.08627939224243164,0.06493649631738663,0.031923048198223114,0.017492039129137993,0.0041803643107414246,0.0035581286065280437,5,6,6,8,20,8
5,90,0.26726260781288147,0.22510790824890137,0.16021518409252167,0.1107017770409584,0.08774857968091965,0.06354467570781708,0.02814667671918869,0.016884615644812584,0.004742795135825872,0.004117866978049278,5,5,6,8,21,8
6,90,0.2716558277606964,0.2217189222574234,0.16290803253650665,0.10759459435939789,0.08701035380363464,0.059798482805490494,0.02549353614449501,0.015581732615828514,0.006308580748736858,0.0050595649518072605,5,5,6,8,22,8
7,90,0.26964855194091797,0.20589201152324677,0.1685662716627121,0.11104762554168701,0.08405771851539612,0.05947284400463104,0.026314401999115944,0.015103667043149471,0.010093887336552143,0.00605529872700572,5,6,7,9,24,8
8,90,0.2729570269584656,0.1971505582332611,0.1703527867794037,0.10809320956468582,0.08467527478933334,0.056441985070705414,0.02577424980700016,0.015218609943985939,0.011723174713551998,0.006757284980267286,5,6,7,11,25,8
9,90,0.2847810387611389,0.1871202290058136,0.16163475811481476,0.1005086824297905,0.08663741499185562,0.055535685271024704,0.02659856341779232,0.01776481792330742,0.011925414204597473,0.007700497284531593,5,6,7,12,25,8
10,90,0.3280278742313385,0.16343525052070618,0.1506502777338028,0.09565132856369019,0.07750367373228073,0.051879849284887314,0.024955589324235916,0.019918106496334076,0.011931248940527439,0.010604786686599255,5,6,8,13,26,8
11,90,0.4038896858692169,0.13981354236602783,0.12624627351760864,0.07517974078655243,0.0683240070939064,0.04419390857219696,0.03062460385262966,0.01961546204984188,0.013315685093402863,0.012508452869951725,5,6,8,13,25,8
0,90,0.2649833858013153,0.2160608172416687,0.19013962149620056,0.12078791111707687,0.08989507704973221,0.06031970679759979,0.030498266220092773,0.01933993399143219,0.0007885529776103795,0.0007002141210250556,5,5,6,7,8,9
1,90,0.2567931115627289,0.22082695364952087,0.19015036523342133,0.12261757254600525,0.08962424099445343,0.05913233384490013,0.03215211257338524,0.018977290019392967,0.0011271167313680053,0.0008808370912447572,5,5,6,7,8,9
2,90,0.2598092257976532,0.2222515493631363,0.1823943704366684,0.11419133841991425,0.08968161791563034,0.06209782883524895,0.03175335377454758,0.0186003390699625,0.002413209294900298,0.0018079261062666774,5,5,6,7,15,9
3,90,0.2564772069454193,0.21325640380382538,0.17783711850643158,0.11568654328584671,0.09063505381345749,0.06607580184936523,0.03106914460659027,0.01833365298807621,0.0038510984741151333,0.0033111346419900656,5,5,6,7,19,9
4,90,0.26595449447631836,0.21620668470859528,0.164666086435318,0.11139193922281265,0.08558259159326553,0.06511936336755753,0.03193453699350357,0.017397306859493256,0.005636025685817003,0.004376143217086792,5,6,6,8,22,9
