metric,mean_sent,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_sent,n_null,layer
pc10,0.004132873304188197,0.0039138153824023435,0.0002190579217858533,-4.0140391734906115e-05,0.0005089119702461106,0.112,0.2170837797737651,100,100,4
pc10,0.004696112519595719,0.004427397998515469,0.00026871452108025076,-2.678346313769331e-05,0.0005706402946379869,0.064,0.23803110908335012,100,100,5
pc10,0.005188037245534313,0.005075197322294061,0.0001128399232402516,-0.00019816005398751196,0.0004364658423001028,0.55,0.09734262687590733,100,100,6
pc10,0.006153396861627652,0.006171193891204844,-1.7797029577191342e-05,-0.00032908780756406465,0.00031206993712112657,0.918,-0.014885558006178379,100,100,7
pc10,0.007508670655079136,0.006980695086531291,0.0005279755685478451,0.00014741678314749186,0.0009037067242898104,0.008,0.37562453059255385,100,100,8
pc10,0.009410960813984232,0.00838219040073449,0.0010287704132497417,0.0005419864050345591,0.0015016074087470803,0.0,0.5814267992603681,100,100,9
pc10,0.012636162228882261,0.009284877488389562,0.0033512847404926997,0.002585006460431034,0.004081137132016005,0.0,1.3128983830182122,100,100,10
pc10,0.015776042919605923,0.00907741358969356,0.006698629329912362,0.005751321486546652,0.007649506252375429,0.0,2.038923100276037,100,100,11
k80,5.0,5.0,0.0,0.0,0.0,2.0,,100,100,0
k80,5.0,5.0,0.0,0.0,0.0,2.0,,100,100,1
k80,4.47,5.0,-0.5300000000000002,-0.6200000000000001,-0.4299999999999997,0.0,-1.494244276364079,100,100,2
k80,4.99,5.0,-0.009999999999999787,-0.03000000000000025,0.0,0.754,-0.14142135623730648,100,100,3
k80,5.0,5.0,0.0,0.0,0.0,2.0,,100,100,4
k80,5.0,5.0,0.0,0.0,0.0,2.0,,100,100,5
k80,5.0,5.0,0.0,0.0,0.0,2.0,,100,100,6
k80,5.0,5.0,0.0,0.0,0.0,2.0,,100,100,7
k80,5.53,5.0,0.5300000000000002,0.4299999999999997,0.6299999999999999,0.0,1.4942442763640789,100,100,8
k80,5.87,5.0,0.8700000000000001,0.7999999999999998,0.9299999999999997,0.0,3.6401606050790174,100,100,9
k80,6.03,5.0,1.0300000000000002,0.9800000000000004,1.08,0.0,5.513543383048541,100,100,10
k80,6.45,5.02,1.4300000000000006,1.3000000000000007,1.54,0.0,3.3210578472430154,100,100,11
k85,5.9,5.0,0.9000000000000004,0.8397499999999999,0.96,0.0,4.221374183841088,100,100,0
k85,5.0,5.0,0.0,0.0,0.0,2.0,,100,100,1
k85,5.0,5.0,0.0,0.0,0.0,2.0,,100,100,2
k85,5.39,5.01,0.3799999999999999,0.29000000000000004,0.47000000000000064,0.0,1.0741515036457858,100,100,3
k85,5.96,5.62,0.33999999999999986,0.2400000000000002,0.44025000000000014,0.0,0.9139790283335695,100,100,4
k85,6.0,5.5,0.5,0.40000000000000036,0.5899999999999999,0.0,1.407124727947029,100,100,5
k85,6.0,5.54,0.45999999999999996,0.3600000000000003,0.5502499999999996,0.0,1.298717315918544,100,100,6
k85,6.0,5.93,0.07000000000000028,0.03000000000000025,0.1200000000000001,0.002,0.386046963547853,100,100,7
k85,6.32,5.96,0.3600000000000003,0.2599999999999998,0.45999999999999996,0.0,1.0011867957579152,100,100,8
k85,6.78,5.99,0.79,0.7000000000000002,0.8700000000000001,0.0,2.609284123349474,100,100,9
k85,7.3,5.98,1.3199999999999994,1.2199999999999998,1.42,0.0,3.5772276784545696,100,100,10
k85,7.73,5.99,1.7400000000000002,1.5700000000000003,1.8999999999999995,0.0,2.9118710355824855,100,100,11
k90,6.0,6.0,0.0,0.0,0.0,2.0,,100,100,0
k90,6.0,6.0,0.0,0.0,0.0,2.0,,100,100,1
k90,6.0,6.0,0.0,0.0,0.0,2.0,,100,100,2
k90,6.33,6.0,0.33000000000000007,0.2400000000000002,0.4299999999999997,0.0,0.9875342427465569,100,100,3
k90,6.9,6.0,0.9000000000000004,0.8300000000000001,0.96,0.0,4.221374183841088,100,100,4
k90,6.98,6.0,0.9800000000000004,0.9500000000000002,1.0,0.0,9.849873095629206,100,100,5
k90,7.0,6.02,0.9800000000000004,0.9500000000000002,1.0,0.0,9.849873095629206,100,100,6
k90,7.18,6.58,0.5999999999999996,0.4900000000000002,0.7200000000000006,0.0,1.3498466170534154,100,100,7
k90,7.7,6.84,0.8600000000000003,0.75,0.9699999999999998,0.0,2.0620513449303153,100,100,8
k90,8.29,7.33,0.9599999999999991,0.8100000000000005,1.1099999999999994,0.0,1.8607949577432763,100,100,9
k90,9.49,7.71,1.7800000000000002,1.5700000000000003,2.01,0.0,2.1671145992955734,100,100,10
k90,9.96,7.67,2.290000000000001,2.039999999999999,2.55,0.0,2.486440512968512,100,100,11
k95,7.0,7.0,0.0,0.0,0.0,2.0,,100,100,0
k95,7.0,7.0,0.0,0.0,0.0,2.0,,100,100,1
k95,7.58,7.0,0.5800000000000001,0.4800000000000004,0.6699999999999999,0.0,1.6535675717326204,100,100,2
k95,8.0,7.15,0.8499999999999996,0.7699999999999996,0.9199999999999999,0.0,3.3496268448888435,100,100,3
k95,8.14,7.81,0.33000000000000096,0.22999999999999954,0.43025000000000035,0.0,0.8866120534285158,100,100,4
k95,8.4,7.98,0.41999999999999993,0.2900000000000009,0.5502500000000005,0.0,0.8717498383589474,100,100,5
k95,9.07,8.56,0.5099999999999998,0.3100000000000005,0.7200000000000006,0.0,0.6574394307611894,100,100,6
k95,10.52,9.75,0.7699999999999996,0.4600000000000008,1.0902499999999997,0.0,0.6802280359667761,100,100,7
k95,12.37,11.03,1.3399999999999999,0.9600000000000009,1.7002500000000007,0.0,0.9852951938237606,100,100,8
