metric,mean_sent,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_sent,n_null,layer,level_from,level_to
G,0.8236449454994428,0.8410897006770921,-0.017444755177649318,-0.022752452531894625,-0.012006297380654517,0.0,-0.9260262141036181,100,100,10,2,3
G,0.8559771187811616,0.8587378910415703,-0.002760772260408717,-0.0074573767773808055,0.0018395772739181599,0.304,-0.1579262749428045,100,100,10,3,4
G,0.8565492892374122,0.8652338093921306,-0.008684520154718323,-0.013294290589186051,-0.004040826110210672,0.0,-0.5312477539750619,100,100,10,4,5
G,0.8427453097762568,0.8438055833265895,-0.0010602735503326688,-0.005126966063488941,0.002775762785510029,0.614,-0.07482115603667938,100,100,10,5,6
G,0.8553472964754181,0.8475583250456385,0.007788971429779523,0.0029989960560250052,0.012301420132827638,0.002,0.4684303796628644,100,100,10,6,7
G,0.8406655425339463,0.8894496666415344,-0.048784124107588034,-0.052485561620455895,-0.04534446755406406,0.0,-3.8524665494691446,100,100,10,7,8
G,0.8329984333888879,0.9193159281294495,-0.0863174947405616,-0.09047337073310038,-0.08216748164744402,0.0,-5.78873715691122,100,100,10,8,9
G,0.8463412340472616,0.8879491783016259,-0.041607944254364315,-0.046179462579626115,-0.03594793008853311,0.0,-2.25688338122009,100,100,10,9,10
G,0.7703462033938793,0.7781233948133296,-0.0077771914194503244,-0.01824014743760472,0.0013217489971999613,0.092,-0.2180114159302545,100,100,11,1,2
G,0.7720230300601512,0.7804068073989854,-0.00838377733883422,-0.016271747818388173,-0.0011948085261835966,0.026,-0.2982462147653729,100,100,11,2,3
G,0.812198025395946,0.8038632694653103,0.008334755930635707,0.0016987362548116808,0.015017716660208721,0.026,0.3376159141691532,100,100,11,3,4
G,0.8051623538510193,0.8482008321602195,-0.04303847830920016,-0.049375737509616255,-0.03701812042682657,0.0,-1.9253451832746062,100,100,11,4,5
G,0.8055773903131487,0.8005012087505016,0.0050761815626471085,-0.000737681485523356,0.010606794987571598,0.1,0.24891869916222575,100,100,11,5,6
G,0.8395949644015895,0.8045669784867573,0.03502798591483225,0.029521722391850788,0.0402053628022472,0.0,1.8182446720049854,100,100,11,6,7
G,0.7701401390125828,0.8651562737453553,-0.09501613473277248,-0.10151415612205617,-0.08945442438719327,0.0,-4.369460470692334,100,100,11,7,8
G,0.7936963521511783,0.9153584144370897,-0.12166206228591137,-0.12774185952364456,-0.11573508287312244,0.0,-5.489446953611551,100,100,11,8,9
G,0.7825565271528938,0.8981309765146837,-0.11557444936178984,-0.12373964633248628,-0.10800710092008355,0.0,-4.028348306071173,100,100,11,9,10
