layer,total_components,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,k80,k85,k90,k95,k99,boot_id
10,90,0.2797457277774811,0.20772376656532288,0.12423095107078552,0.08897683024406433,0.06279999762773514,0.0547371469438076,0.037786103785037994,0.027497731149196625,0.014764449559152126,0.013759443536400795,6,7,10,16,32,4
11,90,0.3041016459465027,0.18419738113880157,0.12090983241796494,0.08056923002004623,0.07085155695676804,0.046367838978767395,0.040628813207149506,0.03128814324736595,0.015194407664239407,0.013886508531868458,6,8,10,16,32,4
0,90,0.3194766342639923,0.18718606233596802,0.14139151573181152,0.11884679645299911,0.08149712532758713,0.06797373294830322,0.04056532680988312,0.034055326133966446,0.0014796423492953181,0.0009136745939031243,5,6,6,7,8,5
1,90,0.36008137464523315,0.18267041444778442,0.1309315413236618,0.11882049590349197,0.07309974730014801,0.057604409754276276,0.036461904644966125,0.030425967648625374,0.001664325944148004,0.001069135614670813,5,5,6,7,8,5
2,90,0.3696165680885315,0.18911215662956238,0.12872746586799622,0.11213581264019012,0.06474605947732925,0.05157631263136864,0.03394578769803047,0.03135624900460243,0.0032377156894654036,0.0019671309273689985,5,5,6,8,13,5
3,90,0.3454796075820923,0.2017444223165512,0.12806890904903412,0.11180954426527023,0.06446217745542526,0.05242408066987991,0.03378860652446747,0.03129858151078224,0.005104938056319952,0.0034125023521482944,5,5,6,8,18,5
4,90,0.3242883086204529,0.2067311555147171,0.13061301410198212,0.11498818546533585,0.06392490118741989,0.05302172899246216,0.03485853970050812,0.032542239874601364,0.005612766370177269,0.0036156882997602224,5,6,7,8,22,5
5,90,0.318362832069397,0.21068738400936127,0.1305723786354065,0.11125028133392334,0.06355781853199005,0.05206490680575371,0.03825170919299126,0.029729142785072327,0.006474529858678579,0.0039804670959711075,5,6,7,8,24,5
6,90,0.3158448040485382,0.21102334558963776,0.12995699048042297,0.1081111878156662,0.06365079432725906,0.04945558309555054,0.04021287336945534,0.028793146833777428,0.007331592962145805,0.004849802702665329,5,6,7,9,26,5
7,90,0.2971460223197937,0.21755117177963257,0.13464488089084625,0.10422875732183456,0.06330832839012146,0.04948067665100098,0.039816975593566895,0.027055254206061363,0.008818438276648521,0.0062140910886228085,5,6,7,11,28,5
